vuln_id,whitelist,package,version_local,version_local_regex,version_nixpkgs,version_upstream,comment,review_comment
CVE-2026-6844,False,binutils,2.47,,,,,CVE-2026-6844: CNA: vendor-specific or unspecified upstream bounds. NVD: binutils: no numeric bound. readelf resource exhaustion: no upstream fix verified. Do not reuse the Ghaf 2.47 exemption based on a vendor RPM version; a vendor-patched RPM does not prove the upstream tag fixed. https://security-tracker.debian.org/tracker/CVE-2026-6844
CVE-2026-6845,False,binutils,2.47,,,,,CVE-2026-6845: CNA: vendor-specific or unspecified upstream bounds. NVD: binutils: no numeric bound. readelf resource exhaustion: no upstream fix verified. Do not reuse the Ghaf 2.47 exemption based on a vendor RPM version; a vendor-patched RPM does not prove the upstream tag fixed. https://security-tracker.debian.org/tracker/CVE-2026-6845
CVE-2010-4756,False,glibc,2.42-84,,,,,CVE-2010-4756: CNA: n/a (affected). NVD: glibc: no numeric bound. Unresolved glob resource exhaustion: NVD has no upper bound and no matching fix was established. The Ghaf blanket patched explanation is not supported by this patch bundle. https://www.cve.org/CVERecord?id=CVE-2010-4756
CVE-2026-18374,False,glibc,,(?:2\.42|2\.42\-84),,,https://sourceware.org/bugzilla/show_bug.cgi?id=34574,CVE-2026-18374: CNA: 0 to <2.45 (affected). NVD: no usable upstream CPE range in retrieved record. fopen ccs conversion heap overflow remains unresolved in this closure; the required sourceware bug 34574 fixes are not in the inspected 2.42-master.patch. https://sourceware.org/bugzilla/show_bug.cgi?id=34574
CVE-2019-14899,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2019-14899: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Nixpkgs: PR 75565: https://github.com/NixOS/nixpkgs/pull/75565 (closed). Unresolved: Ubuntu upstream status is deferred (2019-12-13). No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2019-14899
CVE-2021-3714,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2021-3714: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is deferred (2024-06-17). No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2021-3714
CVE-2021-3864,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2021-3864: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needs-triage. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2021-3864
CVE-2022-0400,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2022-0400: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is deferred (2024-06-17). No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2022-0400
CVE-2022-1247,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2022-1247: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needs-triage. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2022-1247
CVE-2022-4543,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2022-4543: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needs-triage. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2022-4543
CVE-2023-3397,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2023-3397: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needs-triage. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2023-3397
